Date,Pros,Cons,Advice to Management,Rating,Employement_status,Designation,Location,Work_Life_Bal,Culture_Values,Career_Opportunity,Compensation_Benefits,Senior Management
15-Mar-20,"Work-life balance, On-site Opportunity, Stability",Not good working environment Especially Senior employee doesn't like to work. Bad management when its come to Career Opportunity and Growth.,Give More opportunity to junior resources to learn and Contribute for their Projects and Company.,3,Former Employee,Systems Engineer,Calcutta,4,3,2,2,2
15-Mar-20,Good working environment compared to other MNCs,Low salary hike per year,,3,Former Employee,Systems Engineer,Chennai,5,5,5,2,1
29-Feb-20,"So many onsite opportunities
Hr policies are good","Increments are very less
Promotions transparency",,5,Current Employee,Tech Lead,,5,5,5,3,4
29-Feb-20,Very good company to live,bad for freshers as they don't get enough development opportunities,,5,Former Employee,Ingénieur Système,Bangalore,5,5,4,4,4
29-Feb-20,PERFECT LIKE A GOVT COMPANY,There are no such cons. It all depends on the project you are allocated to.,,5,Current Employee,IT Analyst,Chennai,,,,,
29-Feb-20,Good Organization to work on.,Nothing to share like that,,5,Current Employee,Systems Engineer/Architect,Thiruvananthapuram,,,,,
29-Feb-20,good company to work .. no cons,nothing . perfect company to work,,5,Current Employee,Digital Marketing,Chennai,,,,,
04-Apr-20,Nothing best about it in terms of a BPS,Never join as a fresher .,,1,Current Employee,Processing Associate,Calcutta,1,1,1,1,1
29-Feb-20,"Global Exposure
Facilities and discounts on all Tata products","No work life balance (Depends on the project)
Salary increment is low compared to other service companies","Employee concerns are not taken care
Huge politics involved
The people are promoted on basis of how good you are with your manager",4,Former Employee,"Assistant Systems Engineer, TCS",Cochin,2,4,4,3,2
29-Feb-20,It is employee friendly and the benefits are good. TCS Cares.,Improper worklife balance depending on the A/c you are assigned,,4,Current Employee,Anonymous Employee,,,,,,
29-Feb-20,Global company with lots of opportunities,Too many employees can often mean you can get lost in the crowd.,,4,Former Employee,BI Analyst,Calcutta,3,3,5,3,4
29-Feb-20,Light and enjoyable work culture. It depends on which project you are in.,Inflexible policies and rigid management attitude.,,4,Former Employee,Data Analyst,Indore,4,2,2,3,2
29-Feb-20,Job security healthy work culture flexibility with working hours,career growth is not quite satisfactory,,4,Current Employee,IT Analyst,Calcutta,4,5,3,3,3
29-Feb-20,Good company to work if you have good network,Better Bench Management could help for the new employees,,4,Former Employee,Technology Analyst,Bangalore,,,,,
01-Mar-20,"Good work-life balance.
Best learning environment for freshers",Don't see anything as of now.,,4,Current Employee,IT Analyst,Thāne,5,4,4,3,3
01-Mar-20,Friendly HR policies and manageable office hours,Process to change projects is not easy,,4,Current Employee,Associate Consultant,,,,,,
14-Mar-20,"infrastructure, work life balnce, no stress","hikes for freshers, no flexible timings",,3,Former Employee,Anonymous Employee,Chennai,4,2,2,2,2
14-Mar-20,"Good campus, less work, friendly environment","Less hike, less work, less growth",,3,Current Employee,Systems Engineer,,4,4,4,3,4
14-Mar-20,Awesome medical benefits and work life balance,Salary part need to improve,,3,Current Employee,Senior Business Analyst,Bangalore,5,4,3,2,3
28-Feb-20,I had an amazing time at TCS,Well cant think of any cons,,5,Current Employee,Cloud Solutions Architect,Mumbai,,,,,
28-Feb-20,"They don't fire you , even if the project ramps down they will move you to some other project . 
Employee satisfaction to 100%",There are a few projects where the management needs to change.,Be more vigilant to what's happening in the projects from bps sector.. try and talk to the agents and not the managers .. To get the honest feedback,5,Former Employee,Business Process Lead,Pune,5,5,5,3,2
28-Feb-20,Everything about tcs is good,Sometimes what training they give and the domain they put you in does not match,Match employee's training with project. Do not allocate to projects randomly.,5,Former Employee,Anonymous Employee,,5,5,3,3,3
28-Feb-20,work-life balance is good. transfer option always open.,very less salary growth. Poor resource management,not applied,5,Current Employee,Systems Engineer,Bangalore,5,5,4,2,2
28-Feb-20,good culture and secured job,nothing cons as such in tcs,na,4,Former Employee,Associé,,,,,,
28-Feb-20,Best in all perspective with company,Few lower level management is not doing fare.,,4,Current Employee,Systems Administrator,Mumbai,,,,,
28-Feb-20,"1. Work culture is good
2. Office hours are not counted here like many IT leaders, if you finish your work early you can leave early.
3. Tata is known for ethics and same can be seen in TCS.
4. Good infrastructure","1. Your performance might be ignored when ot comes to hike.
2. Slow growth.
3. favouritism can be observed by managers.
4. though to get projects on latest technologies.",Don't let go the resources who work for organization selflessly.,4,Former Employee,IT Analyst,Pune,4,5,4,2,2
28-Feb-20,best work culture as compared to other,no cons as such. all good,,4,Current Employee,Trainee,Pune,4,4,4,4,4
28-Feb-20,Good atmosphere to work there,Less growth in the company,,4,Current Employee,IT Analyst,,,,,,
28-Feb-20,Friendly Work Environment throughout the tenure,Payscale and increments are very less,,4,Current Employee,Systems Engineer,Bhubaneshwar,5,5,5,5,5
28-Feb-20,"Work Life balance, Good clients , No constraints for timings as such",No cons as of now,,4,Current Employee,AEM Developer,Pune City,5,5,5,4,4
28-Feb-20,"Job security,work culture,balanced work life",No hike no appreciation no growth,,4,Current Employee,Systems Engineer,Pune,5,5,3,3,3
28-Feb-20,Good growth for fresher,No growth or low growth for experienced,Please provide internal opportunity for associate so that they can prove their potential and grow within,4,Current Employee,ITA,,5,5,2,5,3
28-Feb-20,"1. Very good medical insurance policy for employees.
2. Work life balance.
3. Provides good learning platform to employees.",1. If you get aligned with old technology project and you are good resource it will be difficult for you to get out of that account and move to another account .,,4,Current Employee,IT Analyst,,5,5,3,3,3
28-Feb-20,It is the biggest organisation and it is TATA,Poor management and but not good for freshers,,4,Current Employee,VBA Developer,Pune,4,4,3,3,2
29-Feb-20,Nice place to work and learn,Onsite opportunities & promotions will be delayed,,4,Former Employee,Test Analyst,Bangalore,,,,,
29-Feb-20,Great work environment. Employee friendly.,Company is offering less salary increment.,,4,Current Employee,Systems Engineer,"Gurgaon, Haryana",5,5,3,3,4
13-Mar-20,Initially its a good exposure with international clients,Do not work for a long time as you wont be able gain more knowledge,,3,Former Employee,Software Engineer,"Gurgaon, Haryana",5,5,3,4,3
13-Mar-20,"Work Life balance, Ethics, Job security",Not Good projects Like semi government company,,3,Current Employee,Systems Engineer,"Powai, Maharashtra",5,4,3,3,3
13-Mar-20,#NAME?,"- You will get less salary if you are with the company for long time.
- Internal politics.
- Diplomatic answer.
Last 2 comments depends on your project. There are good managers as well.",Be honest with good employees. Give credit to well-performed employees.,3,Former Employee,Assistant Consultant At TCS,,4,4,3,3,3
14-Mar-20,Being a bps guy is really hard as u have to work more on night shifts only rather than general.U will be doing the same jobs as the IT guys do ur salary will be very less when compared to IT salary,Salary is really less and ur manager treats u like a slave. If u say that due to health condition I will be not coming to night shifts they will be saying u don't have any rights to say this as u r a bps slave,"Please respect the bps employees same as IT employees..
Every human being deserves respect in this world.",3,Current Employee,BPS Trainee,Siruseri,2,2,1,2,1
14-Mar-20,"not many, laid back culture","projects are assigned randomly, not based on specific skills.",,3,Former Employee,Assistant Systems Engineer,Chennai,2,2,2,1,3
27-Feb-20,Good working experience. Friendly colegues.,I didn't know any cons as of now.,,5,Current Employee,Test Engineer,Bangalore,5,5,5,5,5
27-Feb-20,Stability is there in TCS,Hike is very less over here,,5,Current Employee,Business Analyst,,,,,,
27-Feb-20,Facilities are good such as health benefits,Culture is bad as opportunity to grow is less.,,5,Current Employee,IT Analyst,,5,1,1,3,1
13-Mar-20,Nothing as such. If one wants to rest on low salary then this is perfect for those people.,Politics all around. Difficult to survive.,Sitting in one project will make them manager irrespective of whether person is capable or not.,2,Current Employee,Consultant,Noida,3,3,2,1,1
13-Mar-20,"Onsite if you have good visibility, connect with client & management","No annual bonus as committed always depends on overall unit performance and lower grades get 50 to 100%, Onsite opportunities are hidden management only can decide not only on talent, depends on number of years in organization doesnt matter you are the expert, less than 5% annual hike based on grade level it does not matter you are outstanding or achieving the top band/rating, Bell Curve is gimmick always based on management, lead decision less than 5% it comes based on client appreciation, regional biased WB, AP, MH, TN,KA etc people prefer same state doesnt value talent or skill from other state , less collaboration within internal support team",,2,Former Employee,AST,Chennai,3,2,4,2,1
27-Feb-20,A good place to work and experience,"nothing, no cons, no regrets",,4,Former Employee,Anonymous Employee,,4,5,4,3,3
27-Feb-20,"Comfortable work culture.
Learning
Good company for technical people
Strong ethics
Policy","Mostly testing projects.
Salary
Growth
Not enough opportunities for Business Analysts 
Slow growth",Notice period should be reduced and they should pay more to their employees.,4,Current Employee,Business Analyst,Hyderābād,5,5,4,2,3
27-Feb-20,Nice HR policy and employee friendly,Slow growth which is time bound,,4,Current Employee,Sales Manager,Calcutta,,,,,
27-Feb-20,Nice work environment. Flexibility of location. Work life balance,No cons for Tata consultancy services,,4,Current Employee,Systems Engineer,Chandigarh,4,4,4,4,4
27-Feb-20,Work life balance environment to work,Nothing to say in TATA consultancy services,,4,Current Employee,UI Developer,Chennai,4,4,4,4,4
27-Feb-20,"Friendly environment
learning
good startup for freshers
security
potential","shift timings
Oilling and buttering is important for promotions
domain can be change frequently
work load
Onsite opportunities",,4,Current Employee,Test Analyst,Noida,3,3,4,2,3
27-Feb-20,Work life balance is what TCS is known for,No.didnt fine any as of now,,4,Current Employee,Functional Consultant,Mumbai,4,4,4,3,4
12-Mar-20,Growth at faster rate if you have content,poor salary and too many lazy people around you,,3,Former Employee,Senior Data Scientist,Bangalore,4,3,4,3,3
12-Mar-20,"Security is there
Not much pressure .. work life balance will be","Good band given to senior employees
Low Salary increment",,3,Current Employee,Anonymous Employee,,4,3,3,2,2
26-Feb-20,Best company to work with,I did not face any challenges,,5,Current Employee,Assistant Consultant,Mumbai,5,5,5,5,5
26-Feb-20,"Work Flexibility, Work Timings, Opportunities, Career Growth, Campus","Long Processes, Senior Management,",,5,Current Employee,Anonymous Employee,Bangalore,5,5,5,5,4
26-Feb-20,Numerous opportunities to explore in desired fields of interest,shift adjustments depending on business requirements could get worst at times,Could be a little more transparent,5,Current Employee,Quality Analyst,Hyderābād,,,,,
26-Feb-20,"Employee Friendly, Good Exposure, Friendly colleagues and management","Process Oriented, less hike % compared to market standards",No,5,Current Employee,IT Analyst,Chennai,4,5,5,3,4
26-Feb-20,The company was good to work,Banking experience services is good experience,,5,Current Employee,Processing Associate,Chennai,5,5,5,5,5
26-Feb-20,"Job security , transport , shift , work , people around","Competitive , growth , career development , individual growth ,",,5,Former Employee,Senior Process Analyst,Chennai,4,5,4,4,3
26-Feb-20,Excellent company with great core values and ethics,"Bad management , clients given more priority over employees",Treat your employees like Humans,5,Current Employee,IT Analyst,Chennai,3,5,1,2,1
26-Feb-20,Good policies; good work life balance,"less growth, less hikes, manager centric projects",,4,Former Employee,Solutions Architect,,4,5,4,3,3
26-Feb-20,Good management and good projects,"Less salary , very low appraisal",,4,Former Employee,Systems Engineer,Noida,4,4,5,4,4
26-Feb-20,Good company to work with,Resource management group is pathetic,,4,Former Employee,Systems Engineer,Mumbai,3,4,3,3,2
26-Feb-20,Good excellent nice appreciative kind,No cons found till date,,4,Former Employee,Anonymous Employee,,,,,,
26-Feb-20,Job Security is one of the pros,problem is with lower level management,,4,Former Employee,Systems Engineer,Hyderābād,4,4,5,4,4
26-Feb-20,Best place for stress free working environment,Worst politics. No concerns about employee,,4,Former Employee,IT Analyst,Chennai,4,5,4,5,1
26-Feb-20,Extensive range of technologies and domains,Hierarchical in nature. project dependent,,4,Current Employee,Anonymous Employee,Bangalore,,,,,
26-Feb-20,Its a good place to start the career,"Depends on project, which you get into, its mostly luck",,4,Former Employee,Systems Engineer,Bangalore,3,4,4,3,3
26-Feb-20,"job guarantee, location preference, opportunity to work on various technologies","Salary hike is very low, in some projects you are not able to maintain work life balance",,4,Current Employee,Information Technology Analyst,Calcutta,3,4,4,3,3
26-Feb-20,Good and easy going enviros,Very slow process and after a while nothing much to learn,,4,Former Employee,Systems Engineer,Hyderābād,4,5,4,3,3
26-Feb-20,"Job stability, health insurance benefits, lot of projects","Bad appraisal policy,no good salary hike",Please change the appraisal policy,4,Current Employee,Senior Software Developer,Pune,4,4,4,4,3
27-Feb-20,Work life balance can be maintained,Mid level management leads to restricted growth,,4,Current Employee,Systems Analyst,Mumbai,4,5,3,3,3
27-Feb-20,"1.variety of projects
2.immensely secure job
3.some teams are very good
4. Good long term onsite opportunity",1. Package is not at par with other tech companies,Nothing,4,Former Employee,Systems Engineer,Hyderābād,4,5,4,3,4
11-Mar-20,"Less work, not stress ful.",Longer hours in office and old technology,,3,Former Employee,Software Development Engineer,Thiruvananthapuram,3,3,3,4,3
11-Mar-20,"Politics, high exposure to client, healthy environment","Less learning, equal to no increment, and less pay",,3,Current Employee,Anonymous Employee,,,,,,
11-Mar-20,Good work life balance,"Less learning 
Slow rate of progress
Not much of new technology",,3,Current Employee,Assistant Manager,Bangalore,,,,,
25-Feb-20,"Flexible work environment, Excellent leave policy",Less hikes if we are in the same company,,5,Current Employee,Systems Engineer,Hyderābād,4,5,5,4,4
25-Feb-20,Good working environment at TCS,No cons that I can think of,,5,Current Employee,Software Developer,Hyderābād,5,5,4,4,4
25-Feb-20,"Everything is good, healthy work culture and promotes work life balance",Nothing as such to mention,,5,Current Employee,Assistant Manager,Pune,5,5,5,5,5
11-Mar-20,"work-life balance, job security and more.",Salary is very low for freshers.,,2,Current Employee,Assistant Systems Engineer,"Gurgaon, Haryana",4,3,2,3,2
11-Mar-20,Get to learn from a lot from your colleagues.,The policies are very stringent which would not help you to learn a particular thing end to end as they can move you vertically to any other tower.,The policies of the organisation are definitely good. But the senior management take advantage of their power and start using the minor loopholes of these policies.,2,Current Employee,Accounts Payable Associate,Calcutta,2,3,3,3,1
25-Feb-20,Job Security is provided here.,Slow Growth in terms of salary.,,4,Current Employee,Assistant Systems Engineer,,,,,,
25-Feb-20,"I worked at Tata Consultancy Services full-time for more than 3 years. Brand Name, Working atmosphere, Technical skill enhancement, Management, coordination, and negotiation skill add up.",Compensation and hikes are on a little low side.,,4,Former Employee,Systems Engineer,Bangalore,4,5,5,3,4
25-Feb-20,"1. If you are a fresher a good company to start with
2. You can learn a lot as there are lot of different streams
3. good learning and development options","1. If you stay for long you wont see any change in salary
2. bureaucracy is rampant 
3. No growth even if you are there for a long time",,4,Current Employee,Human Resources Manager,Chennai,3,4,4,2,2
25-Feb-20,"Stable Job, less work, flexible timing","Less Salary,
Extended working hours
Internal politics",,4,Current Employee,Assistant Systems Engineer Trainee,Mumbai,3,4,3,4,2
25-Feb-20,"Work life balance, Job security, Learning Opportunities","No such major cons, every company has some cons but I think there is no such thing that has to be mentioned for this company",Needs to be transparent to the middle and lower level employee s,4,Current Employee,Senior Process Associate,Vadodara,5,5,4,3,3
08-Mar-20,Security of Jobs and medical Benefits are good. On-site opportunities are there,Not much to learn. Very less increment. Managers are really dumb.,,3,,,,3,4,3,3,2
10-Mar-20,"Great ethics, Good work-life balance, long term onsite benefit, good health insurance coverage","Managers at some accounts are horrible, they will do everything to let you down and promote only South Indian employees. Infact, consider a situation where all the 7 onsite opportunities are filled up by South- Indian folks","Please judge based on the quality and performance of the employee, don't promote someone just because he is from your native place",3,Current Employee,IT Analyst,Pune,5,3,3,2,1
24-Feb-20,"Brand Name, Salary, Management, Working atmosphere, skill enhancement",Nothing as of now. It's all good,Great,5,Former Employee,"Senior Associate, Process Management",Pune,5,5,4,5,4
24-Feb-20,"Work Life balance,
Great learning opportunities,
Opportunities to work on various trending technologies,
Work Culture",Didn't find any cons as of now,,5,Current Employee,Systems Engineer,Pune,5,5,4,4,5
24-Feb-20,"Good project, exposure and experience","average salary, no location preference",,5,Former Employee,Assistant Systems Engineer,Mumbai,4,5,5,2,5
24-Feb-20,Salary is not at par with other IT groups,"Job Security, Culture, Good Projects",,5,Former Employee,IT Analyst,Pune,5,5,5,2,5
24-Feb-20,Work environment and Job security,Career growth aspect to be improved,,5,Current Employee,Business Process Lead,Chennai,4,5,3,4,3
24-Feb-20,its just an amazing place to work,salary is not so good compare to competitive world,,5,Current Employee,Software Engineer,Bangalore,5,2,5,1,1
24-Feb-20,It's the best place to learn new skills and experience new challenges with a strong support from Leaders,Must be more employee centric for all domains,,5,Current Employee,Senior Business Processes Specialist,Pune,3,4,5,4,3
24-Feb-20,Excellent team and company to work with as it has wide range of scope to increase your knowledge and career,"Nothing to mention in specific. 
Everything goes well",,4,Current Employee,Rpa Developer,Chennai,5,5,5,5,5
24-Feb-20,"its Good if you move to any CoE in TCS, because will get lot to learn",I have not find any,,4,Former Employee,Center of Excellence,Bangalore,3,4,4,3,4
24-Feb-20,Good people policies and supportive HR policies,Pay is an issue if you compare with same and above level companies.,None,4,Former Employee,Marketing Manager,Noida,5,4,4,3,3
24-Feb-20,Good environment. Provides lot of opportunities to learn.,Salary is not upto the mark,,4,Current Employee,Systems Engineer,Bangalore,4,5,4,3,4
24-Feb-20,Good place to work for,Currently none at the moment,,4,Current Employee,IT Analyst,Chennai,,,,,
24-Feb-20,"Employee Safety, Work Life Balance and Learning","Carrier Focus, New Opportunities, Senior Management and Resource Management",,4,Current Employee,IIB Developer,Bangalore,4,4,4,4,3
24-Feb-20,Job security is there in TCS.,nothing disadvantage about the TCS.,,4,Current Employee,Applications Management Analyst,Bangalore,3,4,4,3,3
24-Feb-20,Work life balance is achievable,Pay scale can be improved,,4,,,,5,3,5,3,3
24-Feb-20,"good to start, free, no, pressure","worse in learning, politics, no scope if you are calm",,4,Former Employee,Anonymous Employee,,,,,,
24-Feb-20,"More Flexibility, Employee Concerns, options for work from home",Less Scope for Cloud Development Projects,,4,Current Employee,IT Analyst,Bangalore,4,4,4,4,4
24-Feb-20,Many opportunities with job security,Too much Hierarchial and 2 variable components,,4,Current Employee,Business Consultant,Bangalore,3,3,4,3,3
24-Feb-20,No work pressure. Good learning. Onsite opportunities.,everything is good except pay,,4,Current Employee,BI Developer,Hyderābād,4,3,4,3,3
09-Mar-20,Some good senior management.some are knowledgeable.,Bad politics and management. No work life balance.,,3,Former Employee,Associate Consultant,Bangalore,1,1,3,1,3
09-Mar-20,Working environment and best experience from IT,"Hike is very low , otherwise it's good for everything",,3,Current Employee,Systems Engineer,Chennai,5,5,5,5,5
09-Mar-20,NA. I hardly noticed any PROS from 2015 to 2018.,Too Many. Cant describe. Management is really pathetic irrespective of any project you work for,,3,Former Employee,Student,"Gurgaon, Haryana",,,,,
09-Mar-20,medical insurance and domiciliary amount per year,full of politics and in organized,,3,Current Employee,IT Analyst,Calcutta,2,2,3,3,1
09-Mar-20,#NAME?,"-Salary levels have remained stagnant for years.
-Even after securing an A band, the most increment one can get is 8-12%
-They have upwards of 500,000 [people so what project you land in will depend on your fate.",#NAME?,3,Former Employee,Systems Engineer,Pune,4,5,1,1,3
09-Mar-20,"1. Job Security
2. Good brand name.
3. Work Life Balance","1. No or minimal learning.
2. Very less pay and hikes.
3. Random Project allocation.
4. No involvement of upper management.
5. Not so developing environment.",Try to reach to new joiners who were recruited through Codevita.,3,Current Employee,Assistant Systems Engineer,Pune,3,4,2,2,2
23-Feb-20,Job security is there in this company.,Less financial growth coming from last few years,,5,Current Employee,IT Analyst,Calcutta,4,3,4,2,3
23-Feb-20,It is best company ani salary is also good,I want to work at tata consultancy,,5,Current Employee,Senior Electrical Engineer,"Aurangābād, Maharashtra",5,5,5,5,5
23-Feb-20,"Job safety and Security, Opportunities, Learning, Environment","Increment percentage very low in BPO.
IT domain is good.",,5,Current Employee,Senior Process Associate,Ahmedabad,5,5,5,5,4
23-Feb-20,Good work ethics. Has Employee Satisfaction Surveys. Maintains good work culture. Pays performance appraisal allowance. Maintains class A infrastructure. Conducts training sessions to compete with the market trend,Sometimes very difficult to change the project.,,5,Current Employee,Systems Engineer,,5,5,5,5,3
23-Feb-20,"Onsite opportunities,Big clients,Good working Environment","Low Hike, Saturated development,Lack of learning",,4,Current Employee,Systems Engineer,Mumbai,3,5,4,3,2
23-Feb-20,Multiple project provides ample opportunities to learn.,"less credibility to people.due to multiple people available for less work,",,4,Current Employee,Systems Engineer,Thāne,5,4,4,2,4
23-Feb-20,"flexible work timings, work life balance",projects at one of the campus outside hyderabad. travel time & distance is a concern,,4,Former Employee,Associate Product Manager,,4,3,3,2,2
23-Feb-20,work life balance & shift allowance,not a very good place for a fresher,,4,Current Employee,Processing Associate,Bangalore,5,5,3,4,4
23-Feb-20,Its all about to get into a good project,You should choose the perfect project which suits you,,4,Current Employee,IT Analyst,Chennai,4,4,4,4,4
23-Feb-20,Good for ppl for those who have joined as second company with some hike,Don't prefer as your first company,,4,Current Employee,ITA,Chennai,5,5,4,3,5
23-Feb-20,Working environment was and friendly colleagues.,Internal politics is on the higher side in some projects.,"Care for employees, they are the assists of an organisation",4,Former Employee,Assistant Project Manager,Bangalore,3,4,4,4,5
24-Feb-20,Learning is good if you are in BFS,Indian projects doesn't give opportunities to go onsite,,4,Former Employee,ASE,,5,4,5,3,5
08-Mar-20,Freedom of work in every profile,less pay grades as compared to market,,3,Former Employee,Software Engineer(),,,,,,
08-Mar-20,Safe work environment for employees physically and mentally,Very less hike and allowances for employees and allowances,Take care of your employee needs,3,Current Employee,SAP Consultant,Bangalore,4,5,4,3,4
08-Mar-20,Life work balance is good,Low Salary as compared to other companies,,3,Current Employee,Anonymous Employee,,4,2,3,3,2
08-Mar-20,They dont kick you out,All things Other than pros,,3,Current Employee,Systems Engineer,Pune,,,,,
22-Feb-20,Flexible working hours and holidays,Not very much technology related,,5,Current Employee,Anonymous Employee,,5,5,5,5,5
22-Feb-20,Management is good and environment is super,Not to work as freshers,,5,,,,,,,,
22-Feb-20,"Chance to work in diverse work profiles, Work life balance, Flexible working hours",Lack of research opportunities internally,,5,Current Employee,Assistant Consultant,Pune,5,5,5,4,4
22-Feb-20,Career boosting with precious platforms to leverage.,Individual never find a cons who works inTCS,,5,Current Employee,Quality Assurance Engineer,Hyderābād,5,5,5,5,5
08-Mar-20,"Good medical benefits, people friendly,",Nothing much depends on a person,,2,Current Employee,Quality Analyst,Mumbai,4,3,2,2,2
09-Mar-20,Your job is safe as you can keep switching between projects.,You just learn how to play politics instead of learning to build good products and do good service.,,2,Current Employee,IT Analyst,Chennai,3,1,3,2,1
22-Feb-20,Relax work culture compared to others,Low compensation compared to others,,4,Former Employee,Systems Engineer,"Gurgaon, Uttar Pradesh",4,3,3,2,2
22-Feb-20,"Employees friendly, flexible and good environment",Nothing more to say about Tcs,,4,Current Employee,Systems Administrator,Chennai,4,4,4,4,4
22-Feb-20,Work life balance is very good,Not a place to start as a fresher,,4,Current Employee,Anonymous Employee,,,,,,
22-Feb-20,good work culture and onsite opportunities,less package compared to others,,4,Current Employee,Architect,Bangalore,4,4,4,3,3
22-Feb-20,Decent pay with low work load,No scope for growth and promotion,,4,Former Employee,Anonymous Employee,,3,3,3,4,3
23-Feb-20,Job Security Helpful Team leads and managers Lot of opportunities,Sometimes we do not get to choose our project,,4,Former Employee,Assistant Systems Engineer Trainee,Chennai,4,4,4,4,4
07-Mar-20,Cool it is for youth and young,You feel like you life has become stringent,,3,Current Employee,Anonymous Employee,,,,,,
21-Feb-20,"Working in a extremely good project, got opportunity to learn alot.",No cons as of now,,5,Current Employee,Java Developer,Chennai,5,5,4,3,3
21-Feb-20,Experience gained while working there,A bit Low salary compared to others,,5,Former Employee,Graphic Designer,Mumbai,4,4,5,4,5
21-Feb-20,Good work life balance,Salary hikes are very less,,5,Current Employee,Test Engineer,Hyderābād,5,4,4,2,3
21-Feb-20,Job security. Plenty of opportunities to work with different technologies.,If you join as a fresher or with low CTC then you cannot retire from TCS as you would need to switch for good CTC,They are doing their best.,5,Current Employee,Senior Associate,Pune,5,5,5,5,5
21-Feb-20,"Technical works if allocated in Internal security or corporate teams. On time salary, job security, brand value and great HIS/insurance policy.",Only one which is low hike.,Update your HR policy as per market standard atleast for retaining or hiring good talent. Dont save money by loosing good resources and wasting on crores value of tools managed by non-technical guys,5,Current Employee,IT Security Analyst,"Gurgaon, Haryana",5,5,5,2,5
21-Feb-20,"Continual Learning opportunities, Professional attitude which I felt very much after moving out of TCS",N / A - Not applicable,,5,Former Employee,Assistant Consultant At TCS,Chennai,4,5,5,4,4
21-Feb-20,"Great range of opportunities and exposure Technical, functional, managerial. Brand.",Salary less compared to competitors. But great place to work.,,5,Current Employee,Anonymous Employee,,,,,,
21-Feb-20,Work Life Balance; Good Work Environment; Employee Concerned; Flexibility,Under Paid; Seniority Preferred; Poor Hike; Tough Promotion,Good Management,4,Current Employee,Information Security Manager,Indore,4,4,4,3,3
21-Feb-20,Best place for work-life balance,No growth for career opportunities.,,4,Current Employee,Front End Developer,Chennai,5,3,3,2,2
21-Feb-20,"Lots of good benefits
Greats colleagues","Long working hours and less salary
Worst RMGs",,4,Former Employee,Software Developer,Pune,4,4,4,5,4
21-Feb-20,Good environment and infrastructure,Low salary and no incentives,,4,Current Employee,ASE Trainee,"Nāgpur, Maharashtra",3,4,4,3,4
22-Feb-20,"Work Ethics, Work life balance","less salary , very less hike",,4,Current Employee,SAP ABAP Developer,Bangalore,5,5,4,2,4
06-Mar-20,Good for u if ur mad for onsite opportunities.,Very less raise..expect 5 or max 8% hike.,,3,Former Employee,Associate Consultant,"Gurgaon, Haryana",1,2,3,1,1
06-Mar-20,Good to start as fresher,Not good to continue without onsite as they give peanuts,,3,Current Employee,Systems Engineer,Hyderābād,4,4,4,3,4
06-Mar-20,Job security.. Siruseri campus.. Facility,Work life balance not good,,3,Current Employee,IT Analyst,Chennai,3,2,3,3,2
06-Mar-20,no 9 hour strict policy,no financial growth in the company,,3,Current Employee,Systems Engineer,Bangalore,3,3,3,2,2
06-Mar-20,Lots of Free time to utilize,"No good projects
Working on outdated technologies
No job satisfaction
Very less salary and hike",,3,Current Employee,Assistant Systems Engineer,Bangalore,3,4,2,2,3
06-Mar-20,Job Security. Knowledge development depends on the project you are in. Work/Life Balance. For experienced People it is a good company.,Less Hike. You cant shine because of Many employees.,Increase the hike percentage,3,Current Employee,Systems Engineer,Chennai,3,3,2,2,2
20-Feb-20,"Good environment 
Good work structure 
Gain more knowledge in politics","Worst management 
Politics more than DMK and ADMK",Please don’t play with employee based on their needs,5,Current Employee,Support Analyst,Chennai,4,5,5,5,5
20-Feb-20,Good Projects and working culture,No cons. I am satisfied with all level.,,5,Current Employee,Anonymous Employee,"Gāndhīnagar, Gujarat",5,5,5,5,5
20-Feb-20,"Work life balance, multiple opportunities",Nothing as such I know of,,5,Current Employee,Anonymous Employee,,5,5,5,4,4
20-Feb-20,Benefits for the employee and thei family.,Nothing to point out specifically.,,5,Current Employee,Systems Engineer,Bangalore,1,5,5,5,3
20-Feb-20,"Good exposure 
Good company to settle in, like join after 4-5 years of experience","Growth is slow
Low salary for freshers",,5,Current Employee,Systems Engineer,Chennai,5,5,4,3,5
20-Feb-20,Good working environment and good guidance to learning,No update of work at times,,5,,,,2,3,3,4,4
21-Feb-20,I have never had any trouble with any work to be done,The pay was very low,,5,Current Employee,Executive Support,Mumbai,4,4,4,5,4
27-Mar-20,Nothing other than onsite opportunities. That is again not based on performance.,"Appraisal ratings, onsite opportunities and promotions are more based on favoritism and nepotism.
Unfair payroll policy.
HR does not take corrective action when injustice is done to an associate by his lead or manager. Even if proved.
RMG is very rude and unprofessional even to seniors.
In many verticals unfit people are given higher roles and they make the life of talented people miserable. 
No respect for seniors aspiring for a technical career path.",Please do something to make it a professionally managed company,1,Former Employee,Assistant Consultant,Chennai,1,1,1,1,1
20-Feb-20,Taking care of employees and have good medical plan,Salary hike needs to be increase,,4,Former Employee,Business Analyst,,5,4,4,3,3
20-Feb-20,"Good work life balance.
Good for beginners.","Learning process is slow. 
Nothing else.",,4,Former Employee,Anonymous Employee,Bangalore,4,5,4,4,4
20-Feb-20,"1. Great Work Life Balance
2. Flexible working hours","1. Slow growth
2. Less salary as per industry standard",,4,Current Employee,Systems Engineer,Mumbai,5,5,4,4,3
20-Feb-20,Good for freshers to learn,Too much crowd and many don't work,,4,Current Employee,Systems Analyst,Mumbai,3,3,4,4,3
